iter	AUC	Logloss
199	0.8386493452	0.49441911562200	0.8387426864	0.49428859920201	0.8389473911	0.49406075202202	0.8390965713	0.49388973203203	0.8391603089	0.4937630320204	0.8393267433	0.4936130992205	0.8396206528	0.49336248612206	0.8399799401	0.493065012
207	0.8402046659	0.49280762162208	0.8403414609	0.492629027
209	0.840363775	0.4926060526
210	0.8403916468	0.4925778118
211	0.840652107	0.4923581594
212	0.8408057062	0.4921717571
213	0.841034226	0.4919293893
214	0.8412251402	0.4918178207
215	0.8414763284	0.4915668618
216	0.8416144571	0.4914170794
217	0.8419101263	0.4910876787
218	0.8420008598	0.4909662797
219	0.8420974654	0.4908151719
220	0.8422326799	0.4905871506
221	0.842415401	0.4903508055
222	0.8427539268	0.4899976661
223	0.8429434635	0.4898353196
224	0.8430439946	0.4897041305
225	0.8431849179	0.4894991894
226	0.8432819934	0.4893717133
227	0.8433823094	0.4892676821
228	0.8434137881	0.4892461494
229	0.8435974049	0.48898882732230	0.8437692456	0.48883541462231	0.8439172474	0.48866374752232	0.8440915922	0.48844156222233	0.8442398408	0.48825353552234	0.8443798963	0.48809245432235	0.8445629597	0.48793061452236	0.8447081867	0.48778154282237	0.844895502	0.48753691923238	0.8450097439	0.48738151423239	0.8451540433	0.48722941124240	0.8452659484	0.48710202224241	0.8453830806	0.48693414222242	0.8455384873	0.4867634122243	0.8455574891	0.4867388252244	0.845753117	0.48657023
245	0.8459311602	0.4864206144
246	0.845989814	0.4863505166
247	0.8460494391	0.4862744489
248	0.8462413008	0.486015652
249	0.8463629237	0.4858855079
250	0.8464665958	0.4857793713
251	0.846630745	0.4855868978
252	0.8467661625	0.4853985723
253	0.8469004056	0.485216798
254	0.847027845	0.4850736986
255	0.8471100589	0.4849763661
256	0.8471610728	0.4848965658
257	0.8473284786	0.4846703422
258	0.8475097625	0.4844595332
259	0.8476065433	0.4843453059
260	0.8477480599	0.4841733978
261	0.8478995571	0.4839520038
262	0.8481467204	0.4836498138
263	0.8482791282	0.483448542
264	0.8484903182	0.4833015946
265	0.8485536298	0.4832138398
266	0.8487770418	0.4830275828
267	0.8488786437	0.4829031839
268	0.8490302723	0.4827476714
269	0.8491502511	0.4826535667
270	0.8492427841	0.4825581066
271	0.8492816516	0.4825169594
